Name,Price,Charts,Change,Market cap,Volume (24),Suply,Trade
BitcoinBTC,"€33,384.48",,2.06%,€652.1B,€25.1B,19.5M,Trade
EthereumETH,"€1,729.86",,1.06%,€208.1B,€11.2B,120.3M,Trade
TetherUSDT,€0.94,,0.69%,€79.9B,€42.6B,84.9B,Trade
BNBBNB,€217.61,,2.04%,€33.0B,€444.5M,151.7M,Trade
XRPXRP,€0.58,,0.08%,€31.0B,€1.7B,53.6B,Trade
USDCUSDC,€0.94,,,€23.3B,€5.4B,24.8B,Trade
SolanaSOL,€41.11,,9.80%,€17.2B,€3.6B,419.5M,Trade
CardanoADA,€0.29,,7.58%,€10.3B,€338.9M,35.2B,Trade
DogecoinDOGE,€0.0660,,3.65%,€9.4B,€500.9M,141.7B,Trade
TRONTRX,€0.0946,,1.35%,€8.4B,€324.8M,88.8B,Trade
ToncoinTON,€2.09,,1.72%,€7.2B,€34.4M,3.4B,Trade
ChainlinkLINK,€10.61,,1.31%,€5.9B,€769.1M,556.8M,Trade
PolygonMATIC,€0.63,,5.98%,€5.9B,€386.2M,9.2B,Trade
PolkadotDOT,€4.46,,7.19%,€5.6B,€249.3M,1.3B,Trade
Wrapped BitcoinWBTC,"€33,341.31",,1.94%,€5.5B,€257.1M,163.8K,Trade
DaiDAI,€0.94,,0.71%,€5.0B,€202.5M,5.3B,Trade
LitecoinLTC,€66.20,,2.33%,€4.9B,€404.6M,73.8M,Trade
Bitcoin CashBCH,€230.06,,0.65%,€4.5B,€226.0M,19.5M,Trade
SHIBA INUSHIB,€0.00000754,,3.17%,€4.4B,€169.7M,589.3T,Trade
AvalancheAVAX,€11.32,,7.24%,€4.0B,€416.4M,355.1M,Trade
UNUS SED LEOLEO,€3.65,,2.50%,€3.4B,€918.0K,928.7M,Trade
Stellar LumensXLM,€0.11,,0.54%,€3.2B,€132.8M,27.9B,Trade
TrueUSDTUSD,€0.94,,0.70%,€3.1B,€479.8M,3.3B,Trade
MoneroXMR,€161.61,,0.74%,€3.0B,€119.4M,18.4M,
CosmosATOM,€7.49,,3.09%,€2.8B,€162.7M,372.6M,Trade
UniswapUNI,€4.45,,14.73%,€2.6B,€483.4M,588.2M,Trade
Aave UNI V2aUNIv2,€4.46,,13.98%,€2.6B,€483.9M,588.2M,Trade
OKBOKB,€42.94,,1.07%,€2.6B,€7.7M,60.0M,Trade
Ethereum ClassicETC,€16.69,,0.47%,€2.4B,€248.3M,143.8M,Trade
Binance USDBUSD,€0.94,,0.68%,€1.9B,€533.3M,2.0B,Trade
BitcoinBTC,"€33,383.55",,2.06%,€652.0B,€25.1B,19.5M,Trade
EthereumETH,"€1,729.86",,1.06%,€208.1B,€11.2B,120.3M,Trade
TetherUSDT,€0.94,,0.69%,€79.9B,€42.6B,84.9B,Trade
BNBBNB,€217.61,,2.04%,€33.0B,€444.7M,151.7M,Trade
XRPXRP,€0.58,,0.08%,€31.0B,€1.7B,53.6B,Trade
USDCUSDC,€0.94,,,€23.3B,€5.4B,24.8B,Trade
SolanaSOL,€41.11,,9.80%,€17.2B,€3.6B,419.5M,Trade
CardanoADA,€0.29,,7.58%,€10.3B,€338.9M,35.2B,Trade
DogecoinDOGE,€0.0660,,3.65%,€9.4B,€500.9M,141.7B,Trade
TRONTRX,€0.0946,,1.35%,€8.4B,€325.4M,88.8B,Trade
