Name,Price,Market cap,Volume (24),Suply
BitcoinBTC,"33,074.63",645.0B,14.1B,19.5M
EthereumETH,"1,724.99",207.0B,6.6B,120.3M
TetherUSDT,0.95,80.5B,27.0B,84.8B
BNBBNB,214.22,32.5B,294.3M,151.7M
XRPXRP,0.58,30.8B,1.6B,53.6B
USDCUSDC,0.95,23.5B,3.2B,24.7B
SolanaSOL,37.69,15.7B,1.6B,419.4M
CardanoADA,0.28,9.8B,278.0M,35.2B
DogecoinDOGE,0.0640,9.1B,418.5M,141.7B
TRONTRX,0.0950,8.4B,277.8M,88.8B
ToncoinTON,2.07,7.1B,70.3M,3.4B
ChainlinkLINK,10.48,5.8B,495.0M,556.8M
PolygonMATIC,0.60,5.6B,245.5M,9.2B
Wrapped BitcoinWBTC,"32,975.19",5.4B,121.5M,163.8K
PolkadotDOT,4.18,5.2B,151.6M,1.2B
DaiDAI,0.95,5.1B,122.8M,5.3B
LitecoinLTC,65.01,4.8B,280.4M,73.8M
Bitcoin CashBCH,229.37,4.5B,162.9M,19.5M
SHIBA INUSHIB,0.00000731,4.3B,132.3M,589.3T
AvalancheAVAX,10.61,3.8B,210.6M,355.1M
UNUS SED LEOLEO,3.76,3.5B,601.9K,928.7M
Stellar LumensXLM,0.12,3.2B,115.5M,27.9B
TrueUSDTUSD,0.95,3.2B,205.4M,3.3B
MoneroXMR,162.81,3.0B,77.3M,18.4M
CosmosATOM,7.38,2.7B,187.6M,372.4M
OKBOKB,42.68,2.6B,2.4M,60.0M
Ethereum ClassicETC,16.64,2.4B,246.8M,143.8M
UniswapUNI,3.91,2.3B,114.7M,588.2M
Aave UNI V2aUNIv2,3.91,2.3B,114.7M,588.2M
Binance USDBUSD,0.95,1.9B,369.6M,2.0B
BitcoinBTC,"32,643.58",637.1B,13.2B,19.5M
EthereumETH,"1,705.18",205.0B,6.3B,120.3M
TetherUSDT,0.95,80.4B,26.1B,84.8B
BNBBNB,212.56,32.2B,292.0M,151.7M
XRPXRP,0.57,30.5B,1.8B,53.6B
USDCUSDC,0.95,23.5B,3.1B,24.7B
SolanaSOL,37.05,15.5B,1.6B,419.4M
CardanoADA,0.27,9.6B,287.2M,35.2B
DogecoinDOGE,0.0633,9.0B,446.5M,141.6B
TRONTRX,0.0931,8.3B,255.6M,88.8B
ToncoinTON,2.06,7.1B,73.3M,3.4B
ChainlinkLINK,10.31,5.7B,500.1M,556.8M
PolygonMATIC,0.60,5.5B,249.3M,9.2B
Wrapped BitcoinWBTC,"32,630.21",5.3B,113.6M,163.8K
PolkadotDOT,4.13,5.2B,156.1M,1.2B
DaiDAI,0.95,5.1B,118.0M,5.3B
LitecoinLTC,64.43,4.8B,284.3M,73.8M
Bitcoin CashBCH,226.02,4.4B,168.0M,19.5M
SHIBA INUSHIB,0.00000724,4.3B,141.3M,589.3T
AvalancheAVAX,10.47,3.7B,214.6M,355.1M
UNUS SED LEOLEO,3.75,3.5B,399.3K,928.7M
Stellar LumensXLM,0.11,3.2B,132.8M,27.9B
TrueUSDTUSD,0.95,3.2B,192.1M,3.3B
MoneroXMR,161.55,3.0B,76.1M,18.4M
CosmosATOM,7.25,2.7B,199.6M,372.4M
OKBOKB,42.62,2.6B,2.5M,60.0M
Ethereum ClassicETC,16.53,2.4B,311.3M,143.8M
UniswapUNI,3.86,2.3B,119.4M,588.2M
Aave UNI V2aUNIv2,3.86,2.3B,119.4M,588.2M
Binance USDBUSD,0.95,1.9B,372.0M,2.0B
FilecoinFIL,3.54,1.6B,86.1M,462.1M
HederaHBAR,0.0485,1.6B,57.7M,33.5B
Internet ComputerICP,3.63,1.6B,26.6M,447.7M
AptosAPT,6.50,1.6B,142.9M,247.6M
Lido DAO TokenLDO,1.70,1.5B,70.8M,890.2M
Crypto.com CoinCRO,0.0590,1.5B,6.2M,25.3B
NEAR ProtocolNEAR,1.29,1.3B,91.6M,990.2M
vechainVET,0.0175,1.3B,38.8M,72.7B
MakerMKR,"1,236.30",1.2B,48.8M,977.6K
Aave MKR V2aMKRv2,"1,237.48",1.2B,48.6M,977.6K
QuantQNT,96.44,1.2B,14.4M,12.1M
ArbitrumARB,0.89,1.1B,292.0M,1.3B
OptimismOP,1.29,1.1B,120.0M,880.4M
AaveAAVE,77.42,1.1B,94.4M,14.6M
MantleMNT,0.36,1.1B,52.1M,3.1B
InjectiveINJ,13.28,1.1B,90.5M,83.8M
THORChainRUNE,2.82,954.6M,151.4M,338.8M
The GraphGRT,0.0994,921.1M,56.0M,9.3B
Bitcoin SVBSV,45.00,866.3M,51.1M,19.3M
StacksSTX,0.59,834.4M,37.7M,1.4B
AlgorandALGO,0.10,814.4M,39.5M,7.9B
RenderRNDR,2.17,808.1M,79.7M,371.9M
MultiversXEGLD,28.83,751.2M,19.7M,26.1M
ImmutableIMX,0.60,730.3M,28.2M,1.2B
Theta NetworkTHETA,0.71,708.7M,98.9M,1.0B
Axie InfinityAXS,4.98,705.3M,58.5M,141.8M
USDDUSDD,0.95,686.5M,17.8M,725.3M
TezosXTZ,0.71,675.1M,19.8M,958.1M
XDC NetworkXDC,0.0486,674.2M,7.3M,13.9B
The SandboxSAND,0.32,665.3M,84.2M,2.1B
EOSEOS,0.59,655.5M,133.9M,1.1B
Bitget TokenBGB,0.47,651.3M,17.1M,1.4B
DecentralandMANA,0.34,641.2M,60.8M,1.9B
NeoNEO,8.92,630.0M,67.6M,70.5M
FantomFTM,0.22,619.6M,70.7M,2.8B
Synthetix Network TokenSNX,2.10,573.5M,37.4M,273.3M
Aave SNX V2aSNXv2,2.10,574.5M,37.4M,273.3M
KavaKAVA,0.63,560.2M,25.8M,892.6M
First Digital USDFDUSD,0.95,559.2M,1.5B,589.6M
MinaMINA,0.54,539.6M,44.1M,994.4M
ConfluxCFX,0.15,520.6M,99.7M,3.4B
eCashXEC,0.000026,511.5M,13.5M,19.5T
FlowFLOW,0.49,504.6M,37.3M,1.0B
ChilizCHZ,0.0627,472.6M,74.9M,7.6B
Tether GoldXAUt,"1,886.37",465.0M,4.7M,246.5K
ApeCoinAPE,1.25,459.1M,67.9M,368.6M
