Name,Price,Market cap,Volume (24),Supply
BitcoinBTC,"33,384.48",652.1B,25.1B,19.5M
EthereumETH,"1,729.86",208.1B,11.2B,120.3M
TetherUSDT,0.94,79.9B,42.6B,84.9B
BNBBNB,217.61,33.0B,444.5M,151.7M
XRPXRP,0.58,31.0B,1.7B,53.6B
USDCUSDC,0.94,23.3B,5.4B,24.8B
SolanaSOL,41.11,17.2B,3.6B,419.5M
CardanoADA,0.29,10.3B,338.9M,35.2B
DogecoinDOGE,0.0660,9.4B,500.9M,141.7B
TRONTRX,0.0946,8.4B,324.8M,88.8B
ToncoinTON,2.09,7.2B,34.4M,3.4B
ChainlinkLINK,10.61,5.9B,769.1M,556.8M
PolygonMATIC,0.63,5.9B,386.2M,9.2B
PolkadotDOT,4.46,5.6B,249.3M,1.3B
Wrapped BitcoinWBTC,"33,341.31",5.5B,257.1M,163.8K
DaiDAI,0.94,5.0B,202.5M,5.3B
LitecoinLTC,66.20,4.9B,404.6M,73.8M
Bitcoin CashBCH,230.06,4.5B,226.0M,19.5M
SHIBA INUSHIB,0.00000754,4.4B,169.7M,589.3T
AvalancheAVAX,11.32,4.0B,416.4M,355.1M
UNUS SED LEOLEO,3.65,3.4B,918.0K,928.7M
Stellar LumensXLM,0.11,3.2B,132.8M,27.9B
TrueUSDTUSD,0.94,3.1B,479.8M,3.3B
MoneroXMR,161.61,3.0B,119.4M,18.4M
CosmosATOM,7.49,2.8B,162.7M,372.6M
UniswapUNI,4.45,2.6B,483.4M,588.2M
Aave UNI V2aUNIv2,4.46,2.6B,483.9M,588.2M
OKBOKB,42.94,2.6B,7.7M,60.0M
Ethereum ClassicETC,16.69,2.4B,248.3M,143.8M
Binance USDBUSD,0.94,1.9B,533.3M,2.0B
BitcoinBTC,"33,383.55",652.0B,25.1B,19.5M
EthereumETH,"1,729.86",208.1B,11.2B,120.3M
TetherUSDT,0.94,79.9B,42.6B,84.9B
BNBBNB,217.61,33.0B,444.7M,151.7M
XRPXRP,0.58,31.0B,1.7B,53.6B
USDCUSDC,0.94,23.3B,5.4B,24.8B
SolanaSOL,41.11,17.2B,3.6B,419.5M
CardanoADA,0.29,10.3B,338.9M,35.2B
DogecoinDOGE,0.0660,9.4B,500.9M,141.7B
TRONTRX,0.0946,8.4B,325.4M,88.8B
ToncoinTON,2.09,7.2B,34.4M,3.4B
ChainlinkLINK,10.61,5.9B,769.1M,556.8M
PolygonMATIC,0.63,5.9B,386.2M,9.2B
PolkadotDOT,4.46,5.6B,249.3M,1.3B
Wrapped BitcoinWBTC,"33,341.92",5.5B,257.1M,163.8K
DaiDAI,0.94,5.0B,202.5M,5.3B
LitecoinLTC,66.19,4.9B,404.6M,73.8M
Bitcoin CashBCH,230.06,4.5B,226.2M,19.5M
SHIBA INUSHIB,0.00000754,4.4B,169.5M,589.3T
AvalancheAVAX,11.32,4.0B,416.2M,355.1M
UNUS SED LEOLEO,3.65,3.4B,918.0K,928.7M
Stellar LumensXLM,0.11,3.2B,132.8M,27.9B
TrueUSDTUSD,0.94,3.1B,479.8M,3.3B
MoneroXMR,161.61,3.0B,119.3M,18.4M
CosmosATOM,7.49,2.8B,162.7M,372.6M
UniswapUNI,4.45,2.6B,483.4M,588.2M
Aave UNI V2aUNIv2,4.46,2.6B,483.9M,588.2M
OKBOKB,42.94,2.6B,7.7M,60.0M
Ethereum ClassicETC,16.69,2.4B,248.3M,143.8M
Binance USDBUSD,0.94,1.9B,533.3M,2.0B
HederaHBAR,0.0518,1.7B,104.9M,33.5B
Internet ComputerICP,3.85,1.7B,32.2M,447.9M
FilecoinFIL,3.71,1.7B,164.3M,463.3M
AptosAPT,6.64,1.6B,192.8M,247.8M
Lido DAO TokenLDO,1.73,1.5B,80.8M,890.2M
Crypto.com CoinCRO,0.0601,1.5B,7.7M,25.3B
NEAR ProtocolNEAR,1.38,1.4B,275.1M,990.2M
vechainVET,0.0183,1.3B,38.2M,72.7B
AaveAAVE,90.02,1.3B,394.9M,14.6M
MakerMKR,"1,268.84",1.2B,95.1M,977.6K
Aave MKR V2aMKRv2,"1,266.77",1.2B,95.2M,977.6K
InjectiveINJ,14.56,1.2B,162.5M,83.8M
ArbitrumARB,0.96,1.2B,441.7M,1.3B
OptimismOP,1.34,1.2B,152.6M,880.4M
QuantQNT,96.91,1.2B,25.3M,12.1M
MantleMNT,0.38,1.2B,75.6M,3.1B
The GraphGRT,0.11,990.5M,87.7M,9.3B
THORChainRUNE,2.77,937.2M,169.8M,338.8M
Bitcoin SVBSV,46.16,889.1M,76.0M,19.3M
RenderRNDR,2.31,860.7M,92.3M,371.9M
StacksSTX,0.60,857.9M,65.5M,1.4B
AlgorandALGO,0.11,853.8M,53.5M,7.9B
MultiversXEGLD,30.52,797.8M,40.4M,26.2M
ImmutableIMX,0.65,791.0M,39.0M,1.2B
Axie InfinityAXS,5.25,744.7M,88.1M,141.8M
The SandboxSAND,0.35,723.5M,133.1M,2.1B
DecentralandMANA,0.38,718.6M,153.5M,1.9B
TezosXTZ,0.76,719.2M,27.6M,958.1M
Theta NetworkTHETA,0.71,714.1M,36.0M,1.0B
EOSEOS,0.62,688.6M,131.9M,1.1B
USDDUSDD,0.94,682.1M,20.3M,725.3M
XDC NetworkXDC,0.0485,672.7M,15.1M,13.9B
FantomFTM,0.24,671.0M,101.7M,2.8B
NeoNEO,9.45,666.7M,97.0M,70.5M
Bitget TokenBGB,0.46,643.6M,17.5M,1.4B
Synthetix Network TokenSNX,2.34,637.1M,60.8M,273.5M
Aave SNX V2aSNXv2,2.33,637.9M,60.8M,273.5M
KavaKAVA,0.65,583.7M,20.6M,895.5M
MinaMINA,0.56,557.2M,53.9M,994.9M
First Digital USDFDUSD,0.94,555.1M,2.3B,589.6M
FlowFLOW,0.52,535.4M,56.0M,1.0B
eCashXEC,0.000027,532.2M,17.3M,19.5T
ConfluxCFX,0.15,519.3M,77.3M,3.4B
ChilizCHZ,0.0669,507.7M,69.8M,7.6B
ApeCoinAPE,1.27,471.1M,58.5M,368.6M
Gala V1GALA,0.0183,466.8M,146.0M,25.5B
IOTAIOTA,0.16,465.6M,14.1M,3.0B
Tether GoldXAUt,"1,876.42",462.6M,2.4M,246.5K
PepePEPE,0.00000109,451.9M,156.6M,417.1T
PAX GoldPAXG,"1,840.50",450.5M,8.9M,243.8K
Trust Wallet TokenTWT,1.07,445.3M,32.2M,416.6M
Frax ShareFXS,5.90,441.8M,48.7M,74.9M
Rocket PoolRPL,22.26,440.0M,4.3M,19.8M
ZcashZEC,26.90,439.9M,53.4M,16.3M
Curve DAO TokenCRV,0.49,439.6M,122.4M,896.7M
Aave CRV V2aCRVv2,0.49,438.5M,122.5M,896.7M
SUISUI,0.44,426.8M,138.7M,965.6M
KuCoin TokenKCS,4.37,423.1M,1.3M,96.7M
Paxos StandardPAX,0.94,415.9M,4.8M,443.8M
BitTorrent(New)BTT,0.00000044,416.1M,19.4M,951.4T
KlaytnKLAY,0.13,415.9M,16.7M,3.2B
dYdXDYDX,2.23,409.5M,125.3M,183.8M
GMXGMX,43.81,401.4M,24.2M,9.2M
CasperCSPR,0.0340,389.1M,6.2M,11.4B
WOO NetworkWOO,0.22,386.7M,25.9M,1.8B
ArweaveAR,5.86,383.3M,15.9M,65.5M
Huobi TokenHT,2.31,375.1M,7.2M,162.2M
Oasis NetworkROSE,0.0563,369.3M,45.5M,6.5B
CompoundCOMP,46.34,366.0M,85.5M,7.9M
TerraLUNA,0.000061,354.3M,27.3M,5.8T
GateTokenGT,3.67,348.7M,2.8M,94.9M
CelestiaTIA,2.43,342.1M,373.1M,141.0M
NexoNEXO,0.60,336.7M,2.7M,560.0M
PancakeSwapCAKE,1.47,335.2M,112.9M,226.7M
APENFTNFT,0.00000034,332.3M,15.8M,990.1T
QtumQTUM,3.16,331.4M,83.9M,104.8M
ZilliqaZIL,0.0190,329.6M,33.7M,17.4B
DashDASH,27.94,321.9M,57.5M,11.5M
1inch1INCH,0.30,308.5M,47.4M,1.0B
JUSTJST,0.0347,308.9M,252.6M,8.9B
Basic Attention TokenBAT,0.20,302.3M,22.9M,1.5B
FLOKIFLOKI,0.000031,292.2M,65.0M,9.5T
CeloCGLD,0.56,288.1M,68.2M,518.4M
SafePalSFP,0.67,282.9M,4.9M,420.8M
AstarASTR,0.0525,280.5M,16.5M,5.3B
Fetch.aiFET,0.34,280.4M,97.2M,812.3M
NEMXEM,0.0308,276.5M,9.1M,9.0B
SingularityNETAGIX,0.22,273.6M,56.2M,1.2B
FLAREFLR,0.0102,273.7M,6.3M,27.0B
SushiSwapSUSHI,1.16,270.0M,345.1M,231.7M
MX TOKENMX,2.65,266.3M,2.9M,100.6M
GnosisGNO,102.27,264.8M,5.8M,2.6M
Enjin CoinENJ,0.26,261.2M,34.7M,1.0B
TellorTRB,104.28,260.7M,48.4M,2.5M
LoopringLRC,0.20,260.0M,19.7M,1.3B
Mask NetworkMASK,3.16,257.4M,126.4M,82.1M
Bitcoin GoldBTG,14.35,250.2M,38.1M,17.5M
TerraLUNA,0.43,246.6M,35.1M,567.2M
Theta FuelTFUEL,0.0386,244.4M,11.8M,6.3B
HoloHOT,0.0014,242.8M,19.2M,172.3B
BlurBLUR,0.23,236.2M,73.1M,1.0B
Convex FinanceCVX,2.87,234.8M,12.6M,81.7M
aelfELF,0.34,233.3M,8.4M,682.8M
STEPNGMT,0.18,232.5M,67.3M,1.3B
Ethereum Name ServiceENS,7.55,229.5M,18.0M,30.1M
Aave ENS V2aENSv2,7.63,229.5M,18.0M,30.1M
ChiaXCH,25.63,228.7M,34.6M,8.9M
AnkrANKR,0.0226,226.6M,36.3M,10.0B
ThresholdT,0.0238,221.9M,70.9M,9.3B
RavencoinRVN,0.0168,220.2M,12.2M,13.1B
0x ProtocolZRX,0.25,213.6M,36.7M,847.5M
Ocean ProtocolOCEAN,0.38,213.3M,35.5M,568.4M
Akash NetworkAKT,0.96,212.3M,4.2M,220.8M
Golem (Old)GNT,0.21,210.5M,7.2M,1.0B
GolemGLM,0.21,210.6M,7.2M,1.0B
IoTeXIOTX,0.0221,209.0M,10.5M,9.4B
ICONICX,0.21,205.5M,7.9M,971.0M
HeliumHNT,1.42,204.7M,2.6M,143.9M
SiacoinSC,0.0037,202.9M,18.3M,55.5B
StatusSNT,0.0519,201.3M,338.3M,3.9B
