Name,Price,Market cap,Volume (24),Supply
1inch1INCH,0.27,282.1M,23.9M,1.0B
APENFTNFT,0.00000032,320.7M,17.1M,990.1T
Aave CRV V2aCRVv2,0.45,407.1M,43.5M,898.5M
Aave ENS V2aENSv2,7.36,221.1M,13.8M,30.1M
Aave MKR V2aMKRv2,"1,292.50",1.3B,49.7M,977.6K
Aave SNX V2aSNXv2,2.14,584.0M,38.0M,273.3M
Aave UNI V2aUNIv2,3.91,2.3B,117.9M,588.2M
AaveAAVE,77.18,1.1B,112.8M,14.6M
Akash NetworkAKT,1.01,222.5M,3.6M,220.7M
AlgorandALGO,0.10,816.3M,59.4M,7.9B
AnkrANKR,0.0210,208.8M,17.9M,10.0B
ApeCoinAPE,1.26,459.9M,40.8M,368.6M
AptosAPT,6.60,1.6B,196.4M,247.5M
ArbitrumARB,0.89,1.1B,261.1M,1.3B
ArweaveAR,5.49,358.4M,24.8M,65.5M
AstarASTR,0.0511,272.5M,14.0M,5.3B
AvalancheAVAX,10.72,3.8B,228.7M,355.1M
Axie InfinityAXS,5.10,725.5M,99.7M,141.4M
BNBBNB,213.21,32.3B,280.5M,151.7M
Basic Attention TokenBAT,0.19,286.3M,20.3M,1.5B
Binance USDBUSD,0.94,1.9B,431.9M,2.0B
BitTorrent(New)BTT,0.00000046,434.8M,52.8M,951.4T
Bitcoin CashBCH,229.09,4.5B,155.2M,19.5M
Bitcoin GoldBTG,13.90,243.4M,16.0M,17.5M
Bitcoin SVBSV,45.91,883.9M,48.3M,19.3M
BitcoinBTC,"32,393.32",631.0B,15.2B,19.5M
Bitget TokenBGB,0.46,637.6M,17.8M,1.4B
BlurBLUR,0.22,230.7M,46.7M,1.0B
CardanoADA,0.28,9.7B,255.4M,35.2B
CasperCSPR,0.0311,355.7M,4.1M,11.4B
CeloCGLD,0.46,233.7M,12.9M,515.1M
ChainlinkLINK,10.65,5.9B,738.3M,556.8M
ChiaXCH,26.03,231.6M,31.8M,8.9M
ChilizCHZ,0.0621,469.9M,66.3M,7.6B
